difference	ionIdx	index diff	log2(FC)	p-value	adj p-value (BH)	pFDR (Storey)	q-value (Storey)	m/z	hmdb_id	kegg_id	other_id	name	mz difference	formula	ion	annotation score
META vegan:META ctrl	1	1	-0,261970493	0,003866035	0,017836944	0,007305258	0,007305258	57,03438372	"HMDB0001659; HMDB0003366; HMDB0031558; HMDB0031652; HMDB01659; HMDB03366; HMDB31558; HMDB31652"	"C00207; C00479; C02001; C15508"	"CHEBI:15347; CHEBI:16605; CHEBI:17153; CHEBI:38685"	Acetone	0,000204379	C3H6O	-H(-)	100
META vegan:META ctrl	2	2	-0,260207921	0,049087602	0,125526067	0,051410171	0,051410171	59,01374188	"HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344"	"C00033; C00266"	"CHEBI:15366; CHEBI:17071"	Acetatic acid	0,00011082	C2H4O2	-H(-)	100
META vegan:META ctrl	3	3	-0,191757331	0,169300006	0,308848547	0,126491309	0,126491309	67,0185461	"HMDB0006853; HMDB0013785; HMDB06853; HMDB06945; HMDB13785"	"C00089; C06145"	"CHEBI:17992; CHEBI:28180"	Butynal	0,000392004	C4H4O	-H(-)	100
META vegan:META ctrl	4	4	-0,014075792	0,889840606	0,94282018	0,38613929	0,38613929	69,03480724	"HMDB0034233; HMDB0061873; HMDB0061874; HMDB34233; HMDB61873; HMDB61874"		CHEBI:48058	Butynol	-0,000219141	C4H6O	-H(-)	100
META vegan:META ctrl	5	5	0,039010144	0,462087018	0,619299585	0,254671515	0,253638931	71,01391932	"HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647"	"C00511; C00546; C19440"	"CHEBI:17158; CHEBI:18308; CHEBI:566274"	Propenoic acid C3:1	-6,66219E-05	C3H4O2	-H(-)	100
META vegan:META ctrl	6	6	-0,144203463	0,078710968	0,178275232	0,073013999	0,073013999	73,02977706	"HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB0006961; HMDB00237; HMDB0031229; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB06961; HMDB31229; HMDB31523"	"C00163; C00424; C00937; C00969; C05235; C17530"	"CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:27957; CHEBI:30768; CHEBI:52342"	C3:0 (Propionic acid)	-0,000274357	C3H6O2	-H(-)	100
META vegan:META ctrl	7	7	0,328571656	0,000303782	0,002136275	0,000874928	0,000874928	74,02498759	"HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239"	"C00037; C06808"	"CHEBI:15428; CHEBI:27777"	Glycine	-0,000235892	C2H5NO2	-H(-)	100
META vegan:META ctrl	8	8	0,128822003	0,224023906	0,377850765	0,154751701	0,154751701	75,00907533	"HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608"	C00160	CHEBI:17497	Glycolate	-0,000308027	C2H4O3	-H(-)	100
META vegan:META ctrl	9	9	-0,169162951	0,015832419	0,053304514	0,021831276	0,021831276	77,0396704	"HMDB0001505; HMDB01505"	C01407	CHEBI:16716	Benzene	3,09635E-06	C6H6	-H(-)	100
META vegan:META ctrl	10	10	0,005317975	0,937865898	0,970129375	0,397323982	0,397323982	83,01324813	"HMDB0032330; HMDB0094691; HMDB32330; HMDB94691"	C17601	"CHEBI:38118; CHEBI:38120"	Hydroxybutynal	0,000604573	C4H4O2	-H(-)	100
META vegan:META ctrl	11	11	0,158031951	0,165410044	0,304298647	0,124627862	0,124627862	83,04853138	"HMDB0001184; HMDB0012157; HMDB0031407; HMDB0031512; HMDB0031530; HMDB0031601; HMDB0031606; HMDB0031607; HMDB0032458; HMDB0037788; HMDB0040584; HMDB01184; HMDB12157; HMDB31407; HMDB31512; HMDB31530; HMDB31601; HMDB31606; HMDB31607; HMDB32458; HMDB37788; HMDB40584"	"C00557; C07330"	"CHEBI:15825; CHEBI:16486; CHEBI:51678; CHEBI:51679; CHEBI:87508; CHEBI:88419"	Methyl propenyl ketone	0,001706722	C5H8O	-H(-)	32
META vegan:META ctrl	12	12	0,016142108	0,74962357	0,838040709	0,343226048	0,343226048	85,02983961	"HMDB0000549; HMDB0002523; HMDB0003407; HMDB0010720; HMDB0031209; HMDB0033977; HMDB0034439; HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439"	"C00741; C01770; C01771; C19309; C19443"	"CHEBI:16583; CHEBI:36253; CHEBI:41131; CHEBI:42639; CHEBI:46916"	Succinic aldehyde	-0,000336914	C4H6O2	-H(-)	100
META vegan:META ctrl	13	13	0,054294652	0,624744367	0,756634844	0,309885647	0,309885647	87,00900705	"HMDB0000243; HMDB0011111; HMDB00243; HMDB0040261; HMDB0062676; HMDB11111; HMDB11666; HMDB40261; HMDB62676"	"C00022; C00222"	"CHEBI:17960; CHEBI:32816; CHEBI:86354"	Pyruvate	-0,000239749	C3H4O3	-H(-)	100
META vegan:META ctrl	14	14	0,137746726	0,039590981	0,107215327	0,043910866	0,043910866	88,04039785	"HMDB0000056; HMDB0000161; HMDB0000271; HMDB0001310; HMDB00056; HMDB00161; HMDB00271; HMDB0031219; HMDB0062251; HMDB01310; HMDB31219; HMDB62251"	"C00041; C00099; C00133; C00213; C01401; C01537"	"CHEBI:15570; CHEBI:15611; CHEBI:16449; CHEBI:16958; CHEBI:16977; CHEBI:17967"	Alanine	3,85037E-06	C3H7NO2	-H(-)	100
META vegan:META ctrl	15	15	-0,109148618	0,506853553	0,660652165	0,270575199	0,270575199	89,02441532	"HMDB0000190; HMDB0000700; HMDB0001051; HMDB0001311; HMDB0001882; HMDB00171; HMDB00190; HMDB0029580; HMDB0031232; HMDB0041929; HMDB0062492; HMDB00700; HMDB01051; HMDB01311; HMDB0144295; HMDB01882; HMDB03328; HMDB29580; HMDB31232; HMDB41929; HMDB62492"	"C00184; C00186; C00256; C01013; C02154"	"CHEBI:132098; CHEBI:16016; CHEBI:33404; CHEBI:341; CHEBI:36596; CHEBI:422; CHEBI:50849; CHEBI:5445"	Lactate	1,97895E-06	C3H6O3	-H(-)	100
META vegan:META ctrl	16	16	-0,085712366	0,365492147	0,525056264	0,21504085	0,21504085	91,04019269	"HMDB0000131; HMDB00131"	C00116	CHEBI:17522	Glycerol	-0,000125389	C3H8O3	-H(-)	100
META vegan:META ctrl	17	17	0,045671925	0,205082113	0,357532891	0,146483729	0,146430358	95,01352128	"HMDB0032914; HMDB0060503; HMDB32914; HMDB60503"	C14279	CHEBI:28906	Furfural	0,000331424	C5H4O2	-H(-)	100
META vegan:META ctrl	18	18	-0,115962132	0,168082393	0,308563888	0,126374725	0,126374725	102,0563395	"HMDB0000092; HMDB0000112; HMDB0000452; HMDB0000650; HMDB0001906; HMDB0002166; HMDB0002299; HMDB0003911; HMDB00092; HMDB00112; HMDB0031329; HMDB0031654; HMDB0038394; HMDB0041945; HMDB00452; HMDB00485; HMDB00581; HMDB00650; HMDB0094692; HMDB01906; HMDB02166; HMDB02299; HMDB03911; HMDB05815; HMDB31329; HMDB31654; HMDB38394; HMDB41945; HMDB94692"	"C00334; C01026; C01205; C02261; C02356; C03284; C03665; C05145; C11735"	"CHEBI:15620; CHEBI:16320; CHEBI:16865; CHEBI:17519; CHEBI:17724; CHEBI:27389; CHEBI:27971; CHEBI:28797; CHEBI:33094; CHEBI:35619; CHEBI:37081"	Aminobutanoic acid (ABA)	-0,00028777	C4H9NO2	-H(-)	100
META vegan:META ctrl	19	19	-0,771260478	0,000898026	0,005438048	0,002227195	0,002227195	103,0400697	"HMDB0000008; HMDB0000011; HMDB0000023; HMDB0000336; HMDB0000357; HMDB0000442; HMDB0000710; HMDB0000729; HMDB00008; HMDB00011; HMDB00023; HMDB0031212; HMDB00336; HMDB00357; HMDB00435; HMDB00442; HMDB0059748; HMDB00710; HMDB00729; HMDB00758; HMDB0126088; HMDB11597; HMDB31212; HMDB59748"	"C00989; C01089; C03197; C05984; C06001"	"CHEBI:1148; CHEBI:17066; CHEBI:17290; CHEBI:20067; CHEBI:30830; CHEBI:37373; CHEBI:50129; CHEBI:741468"	Hydroxybutanoic acid	-2,36992E-06	C4H8O3	-H(-)	100
META vegan:META ctrl	20	20	0,025370129	0,662330238	0,772128299	0,316231111	0,316231111	104,0353768	"HMDB0000187; HMDB0003406; HMDB00187; HMDB00589; HMDB0062263; HMDB03406; HMDB62263"	"C00065; C00716; C00740"	"CHEBI:16523; CHEBI:17115; CHEBI:17822"	Serine	-6,05419E-05	C3H7NO3	-H(-)	100
META vegan:META ctrl	21	21	0,040995689	0,500853505	0,65478899	0,268173891	0,268173891	105,0194147	"HMDB0000139; HMDB0006372; HMDB00139; HMDB0031818; HMDB06372; HMDB31818"	C00258	"CHEBI:32398; CHEBI:33508; CHEBI:74324"	D-Glyceric acid	-8,28499E-05	C3H6O4	-H(-)	100
META vegan:META ctrl	22	22	-0,037614384	0,682187972	0,785822869	0,321839828	0,321839828	105,0337329	"HMDB0006115; HMDB06115"	C00193	CHEBI:17169	Aromatic aldehyde	0,000855163	C7H6O	-H(-)	100
META vegan:META ctrl	23	23	-0,186460199	0,09305047	0,203869371	0,083496276	0,083496276	107,0363561	"HMDB0034260; HMDB34260"			2,2-Dihydroperoxypropane	-0,001374177	C3H8O4	-H(-)	55
META vegan:META ctrl	24	24	-0,554666822	0,122828099	0,247930792	0,101541972	0,101541972	107,0502731	"HMDB0001858; HMDB0002048; HMDB0002055; HMDB0003119; HMDB0033895; HMDB01858; HMDB02048; HMDB02055; HMDB03119; HMDB13762; HMDB33895"	"C00556; C01403; C01467; C01468; C01542"	"CHEBI:16579; CHEBI:17231; CHEBI:17847; CHEBI:17987; CHEBI:28054"	Benzyl alcohol	-3,49921E-05	C7H8O	-H(-)	100
META vegan:META ctrl	25	25	0,30703516	0,06655942	0,158146632	0,064770175	0,064770175	108,0458755	"HMDB0001169; HMDB0035882; HMDB0040582; HMDB01169; HMDB35882; HMDB40582"	C02372	"CHEBI:17602; CHEBI:59981"	Aminophenol	-0,000388375	C6H7NO	-H(-)	100
META vegan:META ctrl	26	26	0,343372377	0,058962887	0,144228007	0,059150763	0,059069695	109,029373	"HMDB0000957; HMDB0002434; HMDB0031180; HMDB0032037; HMDB0033002; HMDB0033127; HMDB00957; HMDB02434; HMDB31180; HMDB32037; HMDB33002; HMDB33127"	"C00090; C00530; C01751; C11115"	"CHEBI:17594; CHEBI:18135; CHEBI:27810; CHEBI:59983"	Catechol	0,000129743	C6H6O2	-H(-)	100
META vegan:META ctrl	27	27	0,244245941	0,0241444	0,073358596	0,03004458	0,03004458	109,0396647	"HMDB0003905; HMDB0033156; HMDB0060741; HMDB03905; HMDB06237; HMDB33156; HMDB60741"	C05130	CHEBI:27398	N-Acetylimidazole	0,001071378	C5H6N2O	-H(-)	89
META vegan:META ctrl	28	28	0,068140153	0,402119243	0,561935865	0,230145176	0,230145176	110,0251315	"HMDB0004230; HMDB0038175; HMDB03094; HMDB04230; HMDB38175"	C05942	CHEBI:36751	Pyrrole-2-carboxylic acid	-0,000379813	C5H5NO2	-H(-)	100
META vegan:META ctrl	29	29	-0,081319304	0,154123938	0,291979435	0,119919283	0,119582434	110,0723083	"HMDB0000870; HMDB0014417; HMDB0060263; HMDB00870; HMDB14417; HMDB60263"	C00388	"CHEBI:18295; CHEBI:59170"	Histamine	6,21834E-05	C5H9N3	-H(-)	100
META vegan:META ctrl	30	30	-0,008659459	0,918964819	0,962707806	0,395414328	0,394284421	110,9916883	"HMDB0029717; HMDB29717"		CHEBI:246417	2-Thiophenecarboxaldehyde	-0,000679542	C5H4OS	-H(-)	100
META vegan:META ctrl	31	31	-0,063755294	0,450097179	0,609448354	0,249604283	0,249604283	111,008269	"HMDB0000444; HMDB0000617; HMDB0032994; HMDB0039437; HMDB00444; HMDB00617; HMDB32994; HMDB39437"	C01546	"CHEBI:30845; CHEBI:30846"	Furoic acid	0,000498327	C5H4O3	-H(-)	100
META vegan:META ctrl	32	32	-0,216633125	0,000124442	0,001014141	0,000415349	0,000415349	111,0195255	"HMDB0000300; HMDB00300; HMDB0060760; HMDB60760"	C00106	CHEBI:17568	Uracil	0,000475193	C4H4N2O2	-H(-)	100
META vegan:META ctrl	33	33	-0,589165064	6,43028E-08	2,07674E-06	8,50546E-07	8,50546E-07	111,081258	"HMDB0031483; HMDB0031486; HMDB0031487; HMDB0031488; HMDB0031539; HMDB0031540; HMDB0031550; HMDB0031551; HMDB0032301; HMDB0033667; HMDB0033827; HMDB0034372; HMDB0040339; HMDB31483; HMDB31486; HMDB31487; HMDB31488; HMDB31539; HMDB31540; HMDB31550; HMDB31551; HMDB32301; HMDB33667; HMDB33827; HMDB34372; HMDB40339"		CHEBI:87582	(Z)-4-Heptenal	0,000280072	C7H12O	-H(-)	100
META vegan:META ctrl	34	34	-0,006966934	0,931143492	0,96760314	0,396356752	0,396289343	112,0518513	"HMDB0000562; HMDB00562"	C00791	CHEBI:16737	Creatinine	-0,000216244	C4H7N3O	-H(-)	100
META vegan:META ctrl	35	35	-0,040828885	0,42575638	0,588366978	0,240970242	0,240970242	112,9998603	"HMDB0062802; HMDB62802"		CHEBI:74661	Parabanic Acid	-0,00059502	C3H2N2O3	-H(-)	100
META vegan:META ctrl	36	36	0,014180757	0,712338205	0,807748914	0,33081981	0,33081981	113,0246394	"HMDB0031859; HMDB0060461; HMDB31859; HMDB60461"		"CHEBI:28993; CHEBI:74456"	2-Hydroxy-2,4-pentadienoic acid	-0,000222139	C5H6O3	-H(-)	100
META vegan:META ctrl	37	37	0,2444565	0,026310578	0,078571315	0,032179489	0,032179489	113,0972785	"HMDB0003671; HMDB0004814; HMDB0005841; HMDB0031405; HMDB0031429; HMDB0031475; HMDB0031482; HMDB0031538; HMDB0031549; HMDB0032405; HMDB0038052; HMDB0040191; HMDB0041320; HMDB0059693; HMDB0061896; HMDB03671; HMDB04814; HMDB05841; HMDB31405; HMDB31429; HMDB31475; HMDB31482; HMDB31538; HMDB31549; HMDB32405; HMDB38052; HMDB40191; HMDB41320; HMDB59693; HMDB61896"	"C08380; C14390"	"CHEBI:50139; CHEBI:5672; CHEBI:87754; CHEBI:88822"	Heptanone	-9,04245E-05	C7H14O	-H(-)	100
META vegan:META ctrl	38	38	-0,005037652	0,933204405	0,96760314	0,396289343	0,396289343	114,0381225	"HMDB0031328; HMDB0032345; HMDB0040331; HMDB31328; HMDB32345; HMDB40331"		CHEBI:50534	1-Isothiocyanatobutane	0,000170667	C5H9NS	-H(-)	100
META vegan:META ctrl	39	39	0,181360607	0,187888587	0,334364996	0,136941768	0,136941768	114,0562031	"HMDB0000162; HMDB0003411; HMDB0012880; HMDB00162; HMDB0030409; HMDB0034208; HMDB03411; HMDB12880; HMDB30409; HMDB34208"	"C00148; C00763; C18170"	"CHEBI:16313; CHEBI:17203; CHEBI:30322"	Proline	-0,000151396	C5H9NO2	-H(-)	100
META vegan:META ctrl	40	40	0,213877272	0,312066685	0,474907765	0,194502145	0,194502145	115,0033984	"HMDB0000134; HMDB0000176; HMDB00134; HMDB00176"	"C00122; C01384"	"CHEBI:18012; CHEBI:18300"	Fumarate	0,000283473	C4H4O4	-H(-)	100
META vegan:META ctrl	41	41	-0,301514837	0,000228961	0,001663785	0,000681416	0,000681416	115,0399639	"HMDB0000019; HMDB0000310; HMDB0000720; HMDB0001865; HMDB00019; HMDB0003771; HMDB0012233; HMDB00310; HMDB0031643; HMDB0034466; HMDB00720; HMDB0128916; HMDB0128917; HMDB0128943; HMDB0129096; HMDB0129097; HMDB0129098; HMDB0132477; HMDB01865; HMDB03771; HMDB04260; HMDB12233; HMDB31643; HMDB34466"	"C00141; C03273; C06255"	"CHEBI:16530; CHEBI:33033; CHEBI:37079; CHEBI:39153; CHEBI:45630"	Ketovaline	0,000103352	C5H8O3	-H(-)	100
META vegan:META ctrl	42	42	0,12284778	0,307147973	0,469226444	0,192444014	0,192175316	115,058744	"HMDB0032411; HMDB0040244; HMDB32411; HMDB40244"			2-Methyl-1-methylthio-2-butene	-4,97932E-05	C6H12S	-H(-)	100
META vegan:META ctrl	43	43	-0,05651124	0,260496347	0,414123608	0,169766771	0,169607524	115,0764773	"HMDB0000535; HMDB0000689; HMDB0029762; HMDB0030027; HMDB0030056; HMDB0030059; HMDB0031207; HMDB0031221; HMDB0031246; HMDB0031248; HMDB0031325; HMDB0031511; HMDB0031580; HMDB0033774; HMDB0033889; HMDB0034163; HMDB0037266; HMDB0040279; HMDB0040327; HMDB00535; HMDB00689; HMDB29762; HMDB30027; HMDB30056; HMDB30059; HMDB31207; HMDB31221; HMDB31246; HMDB31248; HMDB31325; HMDB31511; HMDB31580; HMDB33774; HMDB33889; HMDB34163; HMDB37266; HMDB40279; HMDB40327"	"C01585; C12293; C12304"	"CHEBI:167422; CHEBI:30776; CHEBI:31328; CHEBI:31726; CHEBI:410868; CHEBI:50569; CHEBI:55381; CHEBI:74903; CHEBI:87572"	Hexanoic acid	-2,46259E-05	C6H12O2	-H(-)	100
META vegan:META ctrl	44	44	-0,309745308	0,001437687	0,008193879	0,003355866	0,003355866	116,0352396	"HMDB0000532; HMDB0006454; HMDB0012249; HMDB00532; HMDB06454; HMDB12249"	"C00441; C03508"	"CHEBI:18051; CHEBI:40410; CHEBI:40673"	Aspartate semialdehyde	7,66861E-05	C4H7NO3	-H(-)	100
META vegan:META ctrl	45	45	0,052730753	0,638866575	0,760332908	0,312549578	0,311400218	116,0503096	"HMDB0000738; HMDB0034171; HMDB00738; HMDB34171"	"C00463; C16074"	"CHEBI:16881; CHEBI:25979"	Indole	0,000262874	C8H7N	-H(-)	100
META vegan:META ctrl	46	46	-0,36046302	1,10797E-06	2,01281E-05	8,24363E-06	8,24363E-06	116,0715802	"HMDB0000043; HMDB0000883; HMDB0001382; HMDB0002141; HMDB0003355; HMDB00043; HMDB0013716; HMDB0015550; HMDB00883; HMDB01382; HMDB02141; HMDB03355; HMDB13716; HMDB15550; HMDB34366"	"C00183; C00431; C00719; C01799; C07457"	"CHEBI:134261; CHEBI:15887; CHEBI:16414; CHEBI:17750; CHEBI:2691; CHEBI:28804; CHEBI:55344"	"Valine; Betaine"	0,000121466	C5H11NO2	-H(-)	100
META vegan:META ctrl	47	47	-0,427088687	3,1049E-05	0,000318526	0,000130455	0,000130455	117,0555408	"HMDB0000351; HMDB0000354; HMDB0000396; HMDB0000407; HMDB0000410; HMDB0000531; HMDB0000642; HMDB0000754; HMDB0001863; HMDB0001987; HMDB0002011; HMDB00351; HMDB00354; HMDB00396; HMDB00407; HMDB0040735; HMDB00410; HMDB0041603; HMDB00420; HMDB00531; HMDB0059844; HMDB00605; HMDB0061927; HMDB0062584; HMDB00642; HMDB00754; HMDB0130836; HMDB01863; HMDB01987; HMDB02011; HMDB02187; HMDB02321; HMDB40735; HMDB41603; HMDB59844; HMDB61927; HMDB62584"	C02804	"CHEBI:37051; CHEBI:37084; CHEBI:384411; CHEBI:45564; CHEBI:60631; CHEBI:60645; CHEBI:60647; CHEBI:68454; CHEBI:741550; CHEBI:78321"	5-Hydroxypentanoic acid	0,00017651	C5H10O3	-H(-)	100
META vegan:META ctrl	48	48	-0,357483545	1,46362E-07	3,86751E-06	1,58397E-06	1,58397E-06	117,0749191	"HMDB0029579; HMDB0031431; HMDB0039806; HMDB29579; HMDB31431; HMDB39806"			Diisopropyl sulfide	-0,00057493	C6H14S	-H(-)	100
META vegan:META ctrl	49	49	-0,049502965	0,508503014	0,661812878	0,271050578	0,271050578	118,0507756	"HMDB0000167; HMDB0000719; HMDB0004041; HMDB00167; HMDB0061148; HMDB0061877; HMDB00719; HMDB04041; HMDB61148; HMDB61877"	"C00188; C00263; C05519"	"CHEBI:15699; CHEBI:16080; CHEBI:16857; CHEBI:28718"	Threonine	0,000190658	C4H9NO3	-H(-)	100
META vegan:META ctrl	50	50	-0,095567099	0,061367226	0,147823815	0,060542386	0,060542386	119,0350988	"HMDB0000337; HMDB0000360; HMDB0000498; HMDB0002453; HMDB0002601; HMDB0002649; HMDB0006293; HMDB00337; HMDB00360; HMDB00498; HMDB02453; HMDB02601; HMDB02649; HMDB06118; HMDB06293"	"C01796; C02045"	"CHEBI:23956; CHEBI:27913; CHEBI:36532; CHEBI:86348; CHEBI:86371; CHEBI:86391"	Tetrose	-0,000116936	C4H8O4	-H(-)	100
META vegan:META ctrl	51	51	0,348822151	0,017372164	0,057380783	0,023500743	0,023500743	119,0501843	"HMDB0004072; HMDB0006236; HMDB0013815; HMDB0029636; HMDB0029637; HMDB0029638; HMDB0033910; HMDB0038997; HMDB0062765; HMDB0124943; HMDB04072; HMDB06236; HMDB13815; HMDB29636; HMDB29637; HMDB29638; HMDB33910; HMDB38997; HMDB62765"	"C00601; C02083; C05627; C06758; C07113; C07209; C07214"	"CHEBI:16424; CHEBI:17907; CHEBI:1883; CHEBI:27434; CHEBI:27632; CHEBI:28476; CHEBI:28617; CHEBI:87607"	Phenylacetaldehyde	5,37812E-05	C8H8O	-H(-)	100
META vegan:META ctrl	52	52	0,025544419	0,765394859	0,85022206	0,348215015	0,348215015	120,0116443	"HMDB0000574; HMDB0003417; HMDB00574; HMDB03417"	"C00097; C00793"	"CHEBI:16375; CHEBI:17561"	Cys	0,000828088	C3H7NO2S	-H(-)	100
META vegan:META ctrl	53	53	0,150362048	0,013470206	0,046244173	0,018939658	0,018939658	120,0450635	"HMDB0004461; HMDB0033131; HMDB0035281; HMDB04461; HMDB33131; HMDB35281"	C09815	CHEBI:28179	Benzamide	0,000423632	C7H7NO	-H(-)	100
META vegan:META ctrl	54	54	-0,006037973	0,894235714	0,946327115	0,387575583	0,387575583	121,0297413	"HMDB0001870; HMDB0011718; HMDB0032918; HMDB0034170; HMDB01870; HMDB11718; HMDB32918; HMDB34170"	"C00180; C00633; C06202"	"CHEBI:16008; CHEBI:17597; CHEBI:30746"	Benzoate	-0,000238582	C7H6O2	-H(-)	100
META vegan:META ctrl	55	55	0,147343181	0,452578527	0,611773948	0,250591214	0,250556748	121,0660083	"HMDB0029306; HMDB0030540; HMDB0032074; HMDB0032076; HMDB0032148; HMDB0032150; HMDB0032151; HMDB0032619; HMDB0033944; HMDB0041609; HMDB0059873; HMDB29306; HMDB30540; HMDB32074; HMDB32076; HMDB32148; HMDB32150; HMDB32151; HMDB32619; HMDB33944; HMDB41609; HMDB59873"	"C05853; C06757; C07112; C13637; C14386"	"CHEBI:1895; CHEBI:39839; CHEBI:421375; CHEBI:49000; CHEBI:49584; CHEBI:669"	Phenylethyl alcohol	-0,000120215	C8H10O	-H(-)	100
META vegan:META ctrl	56	56	1,019676189	1,88565E-05	0,000219239	8,97908E-05	8,97908E-05	121,1025331	"HMDB0038140; HMDB0061784; HMDB38140; HMDB61784"			Santene	-0,000259617	C9H14	-H(-)	100
META vegan:META ctrl	57	57	-0,452509815	9,0035E-05	0,000769711	0,000315241	0,000315241	124,0076111	"HMDB0000251; HMDB00251"	C00245	CHEBI:15891	Taurine	-0,000224074	C2H7NO3S	-H(-)	100
META vegan:META ctrl	58	58	-0,478555665	0,000103536	0,00086811	0,000355541	0,000355541	126,0028012	"HMDB0032964; HMDB32964"			2-Acetylthiazole	-0,000893416	C5H5NOS	-H(-)	100
META vegan:META ctrl	59	59	-0,101341057	0,154360687	0,291979435	0,119582434	0,119582434	126,0192196	"HMDB0034368; HMDB34368"			2,3,6-Trihydroxypyridine	0,00044673	C5H5NO3	-H(-)	100
META vegan:META ctrl	60	60	0,306178856	0,249174209	0,403116716	0,165099566	0,165099566	126,9053791	"HMDB0059634; HMDB59634"	C05590	CHEBI:43451	I(-)	-0,000362565	HI	-H(-)	25
META vegan:META ctrl	61	61	0,002760004	0,965722253	0,979668023	0,401504747	0,401230609	127,0033099	"HMDB0059784; HMDB59784"		CHEBI:86395	5-Hydroxy-2-furoic acid	0,000372034	C5H4O4	-H(-)	100
META vegan:META ctrl	62	62	0,064246657	0,484969539	0,639789754	0,262423145	0,262030838	127,0141638	"HMDB0041833; HMDB41833"	C00813	CHEBI:16294	Barbiturate	0,000751491	C4H4N2O3	-H(-)	100
META vegan:META ctrl	63	63	0,146386784	0,047642531	0,122549518	0,050191102	0,050191102	127,0514138	"HMDB0000079; HMDB00079; HMDB0029874; HMDB0031547; HMDB0062558; HMDB29874; HMDB31547; HMDB62558"	C00906	"CHEBI:133469; CHEBI:27468; CHEBI:565546"	Dihydrothymine	-0,000113077	C5H8N2O2	-H(-)	100
META vegan:META ctrl	64	64	-0,051306049	0,602284028	0,742949555	0,304668991	0,304280731	128,0102858	"HMDB0041861; HMDB41861"	C06554	CHEBI:17696	Cyanuric acid	-0,00012148	C3H3N3O3	-H(-)	100
META vegan:META ctrl	65	65	0,026010978	0,644743402	0,761102308	0,312005431	0,311715332	128,0350019	"HMDB0000267; HMDB0000805; HMDB0001369; HMDB0001843; HMDB0002234; HMDB00267; HMDB0060262; HMDB0061093; HMDB0062585; HMDB00805; HMDB01369; HMDB01843; HMDB02234; HMDB60262; HMDB61093; HMDB62585"	"C01879; C02237; C04281; C04282"	"CHEBI:16010; CHEBI:16352; CHEBI:18183; CHEBI:27391; CHEBI:6151"	Oxoproline	0,000314399	C5H7NO3	-H(-)	100
META vegan:META ctrl	66	66	0,451945857	8,14206E-05	0,000717159	0,000293718	0,000293718	128,0710005	"HMDB0000070; HMDB0000716; HMDB0004226; HMDB0005960; HMDB00070; HMDB0015212; HMDB0029435; HMDB0029444; HMDB0059649; HMDB0062225; HMDB00716; HMDB0094696; HMDB0094697; HMDB04226; HMDB05960; HMDB15212; HMDB29435; HMDB29444; HMDB59649; HMDB62225; HMDB94696; HMDB94697"	"C00408; C03969; C05936; C07500"	"CHEBI:17964; CHEBI:30913; CHEBI:40547; CHEBI:41582; CHEBI:63638; CHEBI:7386; CHEBI:90344"	Pipecolate	0,000701207	C6H11NO2	-H(-)	100
META vegan:META ctrl	67	67	0,037326516	0,626784805	0,75708539	0,310466542	0,310070172	129,0192608	"HMDB0000620; HMDB0000634; HMDB0000749; HMDB0002092; HMDB0013233; HMDB0033809; HMDB0059743; HMDB0060365; HMDB0061185; HMDB00620; HMDB00634; HMDB00749; HMDB01657; HMDB02092; HMDB13233; HMDB33809; HMDB59743; HMDB60365; HMDB61185"	"C00490; C01732; C02214; C02226; C02800"	"CHEBI:15670; CHEBI:16600; CHEBI:17204; CHEBI:17415; CHEBI:17626; CHEBI:30838; CHEBI:74524"	Itaconate	7,11439E-05	C5H6O4	-H(-)	100
META vegan:META ctrl	68	68	-0,116806177	0,073750987	0,171954173	0,07042516	0,07042516	129,0386557	"HMDB0031370; HMDB0037493; HMDB0040238; HMDB31370; HMDB37493; HMDB40238"			2-[(Methylthio)methyl]-2-butenal	-0,000696881	C6H10OS	-H(-)	100
META vegan:META ctrl	69	69	-0,140694289	0,019176694	0,061933618	0,025365392	0,025365392	129,0902986	"HMDB0000666; HMDB0030028; HMDB0030052; HMDB0031528; HMDB0031594; HMDB0031595; HMDB0031600; HMDB0032204; HMDB0032874; HMDB0033745; HMDB0034166; HMDB0034239; HMDB0035238; HMDB0036209; HMDB0036237; HMDB0036238; HMDB0038227; HMDB0039095; HMDB0039618; HMDB0039619; HMDB0040297; HMDB00666; HMDB30028; HMDB30052; HMDB31528; HMDB31594; HMDB31595; HMDB31600; HMDB32204; HMDB32874; HMDB33745; HMDB34166; HMDB34239; HMDB35238; HMDB36209; HMDB36237; HMDB36238; HMDB38227; HMDB39095; HMDB39618; HMDB39619; HMDB40297"	"C12290; C12296; C17714"	"CHEBI:31725; CHEBI:45571; CHEBI:50585; CHEBI:77322"	Ethyl isovalerate	0,001804097	C7H14O2	-H(-)	27
