difference	ionIdx	index diff	log2(FC)	p-value	adj p-value (BH)	pFDR (Storey)	q-value (Storey)	m/z	hmdb_id	kegg_id	other_id	name	mz difference	formula	ion	annotation score
META vegan:META ctrl	163	163	0,028617066	0,64903653	0,764810614	0,313234097	0,313234097	169,0646463	"HMDB0032412; HMDB0032582; HMDB0034446; HMDB32412; HMDB32582; HMDB34446"	"C02499; C07733"	"CHEBI:17043; CHEBI:39258; CHEBI:52364"	Methyl beta-naphthyl ketone	0,001241818	C12H10O	-H(-)	68
META vegan:META ctrl	164	164	-0,111860751	0,016664907	0,055464881	0,022716071	0,022716071	169,0854384	"HMDB0030471; HMDB0038276; HMDB30471; HMDB38276"			1,4-Ipomeadiol	0,001578896	C9H14O3	-H(-)	39
META vegan:META ctrl	165	165	-0,087011157	0,462250755	0,619299585	0,253977873	0,253638931	169,1229977	"HMDB0004980; HMDB0010726; HMDB0012183; HMDB0029358; HMDB0029859; HMDB0030031; HMDB0031002; HMDB0031003; HMDB0031297; HMDB0031362; HMDB0031440; HMDB0031441; HMDB0032119; HMDB0032275; HMDB0032393; HMDB0032452; HMDB0033203; HMDB0033377; HMDB0034427; HMDB0034581; HMDB0034880; HMDB0035122; HMDB0035365; HMDB0035837; HMDB0035839; HMDB0035907; HMDB0036099; HMDB0036211; HMDB0036990; HMDB0036992; HMDB0037021; HMDB0037116; HMDB0037217; HMDB0037497; HMDB0037632; HMDB0038744; HMDB0039149; HMDB0039768; HMDB0039795; HMDB0040194; HMDB0040208; HMDB0040213; HMDB0040330; HMDB0040530; HMDB0040726; HMDB0040727; HMDB0041012; HMDB0041630; HMDB0059610; HMDB0059852; HMDB04980; HMDB10726; HMDB12183; HMDB29358; HMDB29859; HMDB30031; HMDB31002; HMDB31003; HMDB31297; HMDB31362; HMDB31440; HMDB31441; HMDB32119; HMDB32275; HMDB32393; HMDB32452; HMDB33203; HMDB33377; HMDB34427; HMDB34581; HMDB34880; HMDB35122; HMDB35365; HMDB35837; HMDB35839; HMDB35907; HMDB36099; HMDB36211; HMDB36990; HMDB36992; HMDB37021; HMDB37116; HMDB37217; HMDB37497; HMDB37632; HMDB38744; HMDB39149; HMDB39768; HMDB39795; HMDB40194; HMDB40208; HMDB40213; HMDB40330; HMDB40530; HMDB40726; HMDB40727; HMDB41012; HMDB41630; HMDB59610; HMDB59852"	"C16462; C18066; C18202; C20326"	"CHEBI:16271; CHEBI:32380; CHEBI:32381; CHEBI:50243; CHEBI:50467; CHEBI:87327; CHEBI:88534; CHEBI:88903"	C10:1	0,000404979	C10H18O2	-H(-)	100
META vegan:META ctrl	166	166	0,125926492	0,068875598	0,162323031	0,066480652	0,066480652	170,0450396	"HMDB0012289; HMDB12289"	C03972	CHEBI:32976	Tetrahydrodipicolinate	0,0008413	C7H9NO4	-H(-)	100
META vegan:META ctrl	167	167	0,160308353	0,050531028	0,128839347	0,05276715	0,05276715	170,0591349	"HMDB0015052; HMDB15052"	C07203	CHEBI:6909	Metronidazole	-0,002020597	C6H9N3O3	-H(-)	19
META vegan:META ctrl	168	168	-0,270371629	0,001868312	0,010119058	0,004144338	0,004144338	171,0440012	"HMDB0001892; HMDB0033765; HMDB01892; HMDB33765"	"C05377; C08446"	CHEBI:28869	Menadione	0,001151517	C11H8O2	-H(-)	78
META vegan:META ctrl	169	169	-0,044904592	0,639462911	0,760332908	0,312413356	0,311400218	171,0773454	"HMDB0000721; HMDB0011178; HMDB00721; HMDB11178"		"CHEBI:356329; CHEBI:356660"	Glycylproline	0,000169879	C7H12N2O3	-H(-)	100
META vegan:META ctrl	170	170	0,043967085	0,364254182	0,524354835	0,215020953	0,214753575	171,1025185	"HMDB0036188; HMDB0036213; HMDB0036396; HMDB0040165; HMDB0040202; HMDB0040203; HMDB0059936; HMDB0059937; HMDB0060287; HMDB0094711; HMDB36188; HMDB36213; HMDB36396; HMDB40165; HMDB40202; HMDB40203; HMDB59936; HMDB59937; HMDB60287; HMDB94711"		CHEBI:78700	Tetrahydrofurfuryl butyrate	0,000148847	C9H16O3	-H(-)	100
META vegan:META ctrl	171	171	-0,849861907	9,45767E-08	2,84382E-06	1,16471E-06	1,16471E-06	171,1387627	"HMDB0000511; HMDB0029760; HMDB0030029; HMDB0031264; HMDB0031739; HMDB0032045; HMDB0032070; HMDB0032155; HMDB0032264; HMDB0032302; HMDB0032315; HMDB0033620; HMDB0034457; HMDB0034849; HMDB0035595; HMDB0035723; HMDB0036136; HMDB0036145; HMDB0036228; HMDB0037387; HMDB0037849; HMDB0038038; HMDB0038602; HMDB0038783; HMDB0039218; HMDB0040157; HMDB0040167; HMDB0040195; HMDB0040211; HMDB0040529; HMDB0041216; HMDB00511; HMDB0061805; HMDB0094654; HMDB29760; HMDB30029; HMDB31264; HMDB31739; HMDB32045; HMDB32070; HMDB32155; HMDB32264; HMDB32302; HMDB32315; HMDB33620; HMDB34457; HMDB34849; HMDB35595; HMDB35723; HMDB36136; HMDB36145; HMDB36228; HMDB37387; HMDB37849; HMDB38038; HMDB38602; HMDB38783; HMDB39218; HMDB40157; HMDB40167; HMDB40195; HMDB40211; HMDB40529; HMDB41216; HMDB61805; HMDB94654"	"C01571; C12289; C12292"	"CHEBI:120941; CHEBI:30813; CHEBI:44499; CHEBI:48250; CHEBI:53459; CHEBI:606526; CHEBI:87332; CHEBI:87421; CHEBI:87495; CHEBI:88553"	Decanoic acid (FA10:0)	0,000289955	C10H20O2	-H(-)	100
META vegan:META ctrl	172	172	0,050427819	0,510673002	0,663646584	0,271801587	0,271801587	172,0392192	"HMDB0000842; HMDB0062188; HMDB00842; HMDB62188"	"C06325; C14040"	"CHEBI:18386; CHEBI:34104"	2-Quinolinecarboxylic acid	0,001182473	C10H7NO2	-H(-)	75
META vegan:META ctrl	173	173	-0,175970606	0,006722727	0,02689091	0,01101338	0,01101338	172,0956431	"HMDB0000701; HMDB0000747; HMDB0002087; HMDB0011756; HMDB0061684; HMDB00701; HMDB00747; HMDB02087; HMDB11756; HMDB61684"	C02710	"CHEBI:17786; CHEBI:64390; CHEBI:84056"	Acetyl-Leu	0,00227318	C8H15NO3	-H(-)	13
META vegan:META ctrl	174	174	0,661931191	0,006225508	0,025728164	0,010537168	0,010537168	172,9913014	"HMDB0060015; HMDB60015"	C00850	CHEBI:27905	Phenol sulfate	0,000101179	C6H6O4S	-H(-)	100
META vegan:META ctrl	175	175	0,302859366	0,000775503	0,004796018	0,001964246	0,001964246	173,0706256	"HMDB0006240; HMDB0029739; HMDB06240; HMDB29739"	"C02693; C13008"	"CHEBI:16031; CHEBI:31530"	Indole-acetamide	0,001410499	C10H10N2O	-H(-)	52
